track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,released_date,cluster
Callaita,"Bad Bunny, Tainy",5,2008,1,8,3862,18,11401,293,5,26,0,22,147.52957610288445,D,Major,79.72549242582919,66.35107377683916,80.24143889397328,7.738329336401478,6.4134209389912655,12.748882634250757,28.48977344007711,2008-01-08,0
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,1968,8,19,4608,4,126884,258,10,21,7,10,137.44458907317414,C#,Minor,83.10219508723947,76.01583868722572,85.91478849119103,19.548815375329447,2.6992328692548173,15.42619951485718,22.73828353221317,1968-08-19,1
Static,Steve Lacy,2,2014,1,23,1690,8,104504,114,13,115,9,8,109.99098760658802,C#,Major,56.9227454325592,42.20829788993671,55.15078572226827,52.95605454119566,29.58204990319793,39.73864906300758,11.38902097073887,2014-01-23,0
Gone Girl,SZA,5,1983,6,18,509,16,117986,156,5,129,9,30,93.36045813969513,F,Major,41.66795995215168,52.16431573581812,31.52796556595269,40.29463117473185,27.69170786849352,53.4539822933412,14.673550567026686,1983-06-18,0
The Real Slim Shady,Eminem,1,2004,5,9,2685,10,180944,195,11,186,6,10,147.791559936248,F,Minor,92.55023076449636,65.19586435624575,80.71495155641445,8.711334828052912,6.67729984559705,11.852144011587512,29.80459040455637,2004-05-09,1
THATS WHAT I WANT,Lil Nas X,4,2014,2,7,191,16,95335,95,6,165,2,24,94.11195769390402,C#,Minor,56.03338305771947,49.09201601157045,36.33717320916588,66.62661723524779,22.63715739410877,49.576170008798414,12.707211188350264,2014-02-07,1
Malvada,Zï¿½ï¿½ Fe,5,2003,6,23,3596,12,123223,88,17,86,4,24,92.96993663842127,F,Minor,52.71330581573413,58.46521082247574,43.393156489565314,41.3319843813012,47.902754909664125,39.22707532121908,10.241350353815667,2003-06-23,1
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",5,2020,3,14,1838,4,50761,258,8,17,6,11,100.63675514898692,C#,Minor,59.140446867444815,45.011032935679175,34.8106826186434,48.2772433659372,35.028798207215274,42.767209397500665,12.209989614961607,2020-03-14,1
Those Eyes,New West,3,1959,6,6,2454,16,142265,63,12,114,5,44,131.75916263483543,E,Major,81.0246186935786,65.29130952486827,81.49106772571366,5.9032551387771415,8.390470435042172,14.23450303607119,28.794169640110265,1959-06-06,0
Bar,"Tini, L-Gante",2,1955,1,17,4930,8,116246,252,9,24,7,17,147.6988376015145,C#,Major,90.65374454039862,73.83409606213908,75.61813094127041,14.028883015410354,1.1208127742142535,12.444572780587162,16.983459765046845,1955-01-17,0
PUNTO 40,"Baby Rasta, Rauw Alejandro",1,1963,3,1,3636,14,180482,144,1,121,2,26,103.90323185236063,Unknown,Major,59.97594301636484,50.598668085085215,46.74519021566763,53.84853465386734,31.106266654909263,55.20070919033991,12.295746552133856,1963-03-01,0
10:35,"Tiï¿½ï¿½sto, Tate M",3,2020,12,12,3572,6,90219,274,5,95,7,26,143.2951881585461,G#,Major,76.46625517768939,77.76922621582484,84.60424609654439,8.501559337529784,8.302278244317739,11.33458258606646,19.11644007374189,2020-12-12,0
When You're Gone,Shawn Mendes,2,2008,2,20,1030,16,91328,244,1,155,0,19,90.90310780142669,F,Major,43.00430487074226,45.59131511918699,44.75139663546156,52.96328766602417,45.57173116607414,35.3052008978348,7.110583100583511,2008-02-20,0
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,2007,12,8,2220,10,22878,250,9,15,9,43,132.57117674872944,Unknown,Major,92.51839910783576,63.89692435221589,72.98613045740952,23.438443913882157,3.56329227392715,13.88098217814555,19.2195130017274,2007-12-08,0
Un Ratito,Bad Bunny,5,2014,1,20,3835,1,185470,25,0,14,9,16,132.48543718536183,Unknown,Minor,88.96715541221903,63.015713294279806,74.89569898830312,7.885025893734103,7.149311219067117,13.463869608356436,26.1250891008348,2014-01-20,1
Lucid Dreams,Juice WRLD,3,1980,10,21,3444,5,187077,103,17,106,5,38,107.034698936924,B,Minor,48.69738501754464,54.01914957160087,54.67062554438103,64.85600582130778,23.14816602874336,54.8540287752941,11.733240070750698,1980-10-21,1
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",5,1984,11,15,2279,12,196902,73,3,35,5,13,102.43197975034434,D,Major,57.64318743442602,48.4684087065108,37.611474322446966,54.90928164560569,38.892022932322575,32.91787314877088,11.137183003481596,1984-11-15,0
Yandel 150,"Yandel, Feid",2,1992,8,13,3776,6,190964,223,4,67,6,24,135.6288411392318,F#,Minor,80.63193037793425,61.05640891709376,70.34008509744515,7.022401614987974,9.944256657797416,13.487663931521856,16.075003884901776,1992-08-13,1
"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",4,2018,6,19,4027,17,109370,89,0,137,3,23,145.0829669016988,A,Minor,93.112633658838,66.84541016039152,78.33985075340529,6.854032942090704,3.808183365230876,8.429029114863757,29.881705034823558,2018-06-19,1
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",4,2010,9,1,1469,0,11649,153,3,91,4,13,99.18645673902108,C#,Minor,57.29718288523942,40.22225505096776,59.91657375877338,47.54605212048156,32.94213336505408,42.19465874359739,8.718799727954249,2010-09-01,1
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",5,2002,4,30,1737,13,4622,129,1,28,8,22,103.92973078336055,A,Minor,58.74957986437883,59.74784128335426,42.2371681819528,63.2225631501692,22.42444653482681,37.0177187171648,7.984159302247324,2002-04-30,1
I Know - PR1SVX Edit,"Kanii, PR1ISVX",5,2011,2,4,164,13,161590,254,13,23,4,32,136.05123169167072,B,Minor,88.64538766740036,75.4515197800651,72.21047553545398,11.181094437728405,7.351087660257222,17.655882081396467,16.976833960619242,2011-02-04,1
SNAP,Rosa Linn,4,1961,9,7,3224,8,52189,96,13,48,5,3,142.28041053402188,Unknown,Major,78.41142228415524,73.03074127919572,71.45500300927002,13.91853296215157,9.152683099271734,10.712207036413975,22.21476991127726,1961-09-07,0
Yet To Come,BTS,4,2006,5,22,233,4,98902,239,8,56,4,18,133.49754281220157,C#,Major,85.30416896253652,68.44673408758341,88.31451211937764,10.683999835411829,5.757268806971322,8.30601500914552,27.300828358877748,2006-05-22,0
Gato de Noche,"Nengo Flow, Bad Bunny",3,2002,4,8,180,4,136577,108,18,180,2,10,93.65520451518223,G#,Major,51.33757032943792,47.565123871137175,35.66249628911737,64.44314910234183,24.98398597484377,47.22001280627481,12.029003886753866,2002-04-08,0
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",3,2016,11,10,655,18,141750,175,8,67,8,44,108.85996257848512,C#,Minor,43.35081783813487,42.60117764158095,31.497400004057223,40.5287784300664,33.826069883467525,52.64585066215234,8.860209831648952,2016-11-10,1
LALA,Myke Towers,3,2017,2,20,223,12,104477,195,4,89,2,15,139.65528777620725,C#,Major,88.78044120764133,64.81316336968456,70.76484326126102,22.9900264511519,4.210810643262279,19.709838095732312,25.872600689297307,2017-02-20,0
Ella Baila Sola,"Eslabon Armado, Peso Pluma",1,2020,1,19,2308,19,30855,24,10,172,5,8,100.17480772604613,F,Minor,47.74743033456943,59.73460489672119,51.26559100920045,42.56757780279142,41.82928270075835,51.72547763392732,9.15793156010148,2020-01-19,1
Vai Lï¿½ï¿½ Em Casa ,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",3,2014,3,5,3932,14,197975,101,7,88,9,25,137.45852930423945,G#,Minor,79.88208005779686,76.24836932629516,75.3172312499723,21.397368058557703,1.7093590423023697,11.531113768872334,18.296050297080757,2014-03-05,1
Neverita,Bad Bunny,4,2020,7,18,666,3,96857,292,3,31,4,8,138.65134904707458,A#,Major,85.7841905692828,76.47045082565056,81.32122856939458,11.041548419611614,3.92661991748636,17.15921670260241,23.58431499216856,2020-07-18,0
Danger (Spider) (Offset & JID),"Offset, JID",1,2011,3,23,2578,2,23985,282,8,122,2,27,148.5294291106994,B,Major,86.5523959393035,69.40764797298547,87.77629838021224,22.487749037671044,9.81314460031148,13.073416641050107,25.922061155609967,2011-03-23,0
Leï¿½,Marï¿½ï¿½lia Mendo,3,1984,7,18,800,10,94295,197,6,182,9,32,92.20586390047087,F#,Major,47.63629438517694,49.74970424096682,31.54926567079449,47.537932093836616,25.79251229289866,39.86978922645991,6.285979074551737,1984-07-18,0
Numb,"Marshmello, Khalid",1,1957,6,27,4157,17,139130,14,18,179,9,5,144.6905763997819,Unknown,Minor,79.78944665942579,61.70955905782487,87.78079520797533,9.706100593512977,4.414916354476842,19.811985251218857,25.940866308838967,1957-06-27,1
Shape of You,Ed Sheeran,2,1961,4,6,1745,8,22018,264,17,86,7,14,146.322372827878,C#,Minor,84.7211232169164,78.86209809601758,73.60780095524,7.997966124516262,2.5822435710947147,10.125200374996844,20.3330507281975,1961-04-06,1
Ya No Somos Ni Seremos,Christian Nodal,1,2017,3,9,4170,17,6766,17,13,68,0,48,108.01924829124684,G,Major,51.80420670381523,51.879179831024295,54.51458203896961,50.42162427832646,26.80790514047661,37.53277872848424,6.111246021320263,2017-03-09,0
Still Don't Know My Name,Labrinth,4,2019,8,23,2040,16,39427,103,10,156,5,31,139.91398917688142,F,Major,87.9541022631603,77.69009278338628,74.00601060632718,16.545315424231525,1.0163222908371516,6.350175730702484,16.320617559276936,2019-08-23,0
Holly Jolly Christmas,Michael Bublï¿,2,2005,12,22,477,10,32718,219,1,167,4,16,101.39639419207892,G,Major,49.29326073781928,45.72346380114327,48.28362824751757,62.25948404901165,41.966865976585225,35.770013579561514,9.638743778429774,2005-12-22,0
Major Distribution,"Drake, 21 Savage",1,1967,11,23,1305,15,133509,294,9,133,6,6,103.8203629378934,G#,Minor,45.80993399960951,41.2736964284727,52.58784442985679,64.6998443615501,46.267452884428224,51.1172841236145,12.7302056304954,1967-11-23,1
Boyfriends,Harry Styles,5,1967,12,2,3088,14,77841,160,16,160,0,39,93.54105309108516,Unknown,Major,48.24276016093296,59.70460045602716,40.589906227923535,50.84801273438789,42.15313679796117,41.72978673160917,14.165662751260644,1967-12-02,0
SPIT IN MY FACE!,ThxSoMch,1,2014,5,1,4434,19,107188,80,18,188,9,24,108.341201180072,G#,Major,44.2953020792641,59.18563788012567,31.77256527778387,53.308308360778376,30.231612617005187,39.916809494814544,9.77967874315132,2014-05-01,0
Adore You,Harry Styles,3,2004,3,4,4541,8,174346,227,7,179,5,15,103.17493304408512,G#,Major,55.97616745890754,47.38726720617703,32.209630138162375,65.43521666617289,30.07955562559748,42.04201239999764,7.657921603687252,2004-03-04,0
favorite crime,Olivia Rodrigo,1,2001,5,11,4501,0,15893,83,19,126,2,30,99.9372990436293,A,Major,52.16152021624356,57.20194633449798,34.85360571334391,66.19532280759485,46.78867029041139,41.23568247686458,12.533748061534052,2001-05-11,0
In My Head,Lil Tjay,1,1988,10,13,1182,16,46619,268,12,197,0,48,98.72128318894237,C#,Major,56.0519183235806,53.49155634898607,43.59168897299196,51.90205772236147,42.14290413476163,57.20791571375175,7.980848853800085,1988-10-13,0
Better Than Revenge (Taylor's Version),Taylor Swift,5,2018,12,5,4924,4,70064,115,7,75,2,8,105.183347267021,B,Minor,41.74595180480311,56.35347466659354,51.39201609738966,64.32565847679768,39.62074163417869,49.02929270225716,14.26047058643997,2018-12-05,1
Un Ratito,Bad Bunny,3,1984,12,24,4159,3,147124,207,13,48,2,0,134.0206157146721,Unknown,Minor,83.13498851079089,62.86922535366319,84.35539015320101,5.039715522206105,8.612206929011885,7.438298030887015,25.49680372820552,1984-12-24,1
I Was Never There,"The Weeknd, Gesaffelstein",1,2008,9,28,671,6,111054,261,7,166,6,34,135.8934289732972,A#,Major,93.03100223496264,65.86873618749482,78.88174342856863,18.42718303807752,3.988643674382784,7.483435070767308,28.036017808442978,2008-09-28,0
"I'm Tired - From ""Euphoria"" An Original HBO Series",Labrinth,3,2011,7,23,3765,18,13531,14,3,199,8,29,90.97614454197122,Unknown,Minor,43.87336612013135,45.25979447064788,30.00776888177048,45.54557498767875,21.302546951202167,59.87196596438518,12.736661967761323,2011-07-23,1
Phantom Regret by Jim,The Weeknd,1,2013,3,15,3121,12,180061,108,10,24,7,42,105.91631568621956,A,Minor,49.710143498288,57.16441580848956,52.93980765344432,69.51827262199743,40.43549439866491,34.050243848828764,12.576925975241606,2013-03-15,1
Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",3,2001,7,9,2535,5,73377,229,13,41,9,45,131.25412929223867,B,Major,87.78887560007043,63.880942188584974,75.3039385827377,16.903267991173045,7.315959344833324,8.920198235298628,19.641429744352877,2001-07-09,0
CHORRITO PA LAS ANIMAS,Feid,3,2022,3,4,1715,15,132559,11,9,175,3,4,146.84440760621058,G#,Minor,75.34195875863526,69.6164814532458,74.87046685701465,21.17369423329594,6.037049288746407,10.092663893544051,15.12893750973558,2022-03-04,1
The Business,Tiï¿½ï¿,3,2013,3,13,534,1,188703,145,14,120,4,42,145.7417013941193,G#,Minor,85.06426385118007,76.15129328747615,89.91198547955081,22.531806642496296,0.0829206183152586,15.61833373515107,22.937765131719733,2013-03-13,1
69,"Nicky Jam, Feid",4,2014,6,1,2907,2,118314,170,13,148,8,14,101.6486843999207,G#,Major,54.58541355810542,54.39061555708327,36.43433290354236,49.33743291868757,30.327062789992937,47.6745126402444,12.15732503482425,2014-06-01,0
Midnight Rain,Taylor Swift,4,2013,11,20,2321,17,51858,275,12,161,6,8,93.78205513726846,Unknown,Major,41.58027504191481,47.38311824949968,56.64173885228495,44.23858070419141,40.51567550911926,44.31145713902206,8.522147766557865,2013-11-20,0
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",3,2003,2,17,1295,16,167330,67,13,163,7,38,108.52427204466748,Unknown,Minor,59.03758682012765,58.36228408692728,55.21132086340188,51.77496552841395,40.39539565600927,57.225703408039806,8.748572462189076,2003-02-17,1
WORTH NOTHING,"Twisted, Oliver Tree",1,2010,9,2,2913,5,26685,236,9,25,3,20,145.53329143035273,D,Minor,82.52695269255608,66.67150749630962,87.88456295931721,6.916980284825662,2.7047262119308337,17.810945456627195,29.152184706197925,2010-09-02,1
Creep,Radiohead,1,2008,1,26,4780,8,10625,181,15,114,7,15,147.93374600089854,G,Major,84.68659006083219,76.66248121964017,81.65071070071699,5.958876608673589,4.870171135969676,16.214905103313292,21.89330615771325,2008-01-26,0
Pink Venom,BLACKPINK,5,2001,5,21,2058,9,173483,103,7,167,9,39,147.24952544614175,Unknown,Major,85.32882595734732,75.21844308820278,71.6529621328664,14.453295653594688,4.088567717267858,8.932078944020905,17.058154464342227,2001-05-21,0
Without Me,Eminem,5,1993,9,15,3544,8,112584,59,8,143,4,7,104.77961934783777,G,Major,59.0274561958644,45.50583603791063,46.737133334364245,62.81533202611904,30.508288201027018,42.90894035464862,12.246535703210316,1993-09-15,0
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",5,2014,6,7,3570,10,56216,162,17,169,5,46,106.58523999420684,A,Major,40.58262113048198,49.23115385092632,31.75006042262585,64.64456939653184,45.47530004563154,51.45434113010043,13.849964559313763,2014-06-07,0
No Role Modelz,J. Cole,1,2014,6,16,4325,10,113283,26,9,108,6,13,105.54326764061786,A#,Minor,52.69021236575777,40.38743175230132,46.6662707590861,56.74038367374212,40.71308364846956,42.107225531320985,6.3887374255277845,2014-06-16,1
Die For You - Remix,"Ariana Grande, The Weeknd",4,2004,2,8,180,1,96863,192,3,190,7,42,90.37108586489892,C#,Minor,50.61139158294255,53.96234157043551,48.126684067824776,65.86796632275471,32.35870335368955,51.50352677213212,8.841025665630436,2004-02-08,1
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",5,2010,5,20,1251,8,82862,276,7,54,6,40,103.92424742186482,D,Major,47.17841370051454,40.10710037659585,55.609857761086815,62.876861180658615,46.17004728773051,48.56612913899852,14.223161585923826,2010-05-20,0
deja vu,Olivia Rodrigo,3,2013,9,27,4717,2,68102,298,1,163,4,35,145.4662061995924,A,Major,83.03978556834373,67.28892607683778,74.32888506935592,22.65910692906733,3.389375212383622,7.244997293194275,15.370679820506952,2013-09-27,0
SPACE MAN,Sam Ryder,1,2009,11,10,444,7,91159,214,19,51,9,13,149.31331345053076,B,Major,80.07965503636017,64.03969596685182,82.02033622461244,10.079518250169793,4.631321715430636,14.036373245605368,15.605295074925492,2009-11-10,0
Mirror,Kendrick Lamar,2,2005,5,27,1333,0,48104,213,8,65,0,23,90.52735561544998,E,Minor,42.77270297717377,54.79895621948516,41.625943843159234,69.4157222166207,42.584762107104666,34.9920822006301,8.675370155775218,2005-05-27,1
Aguacero,Bad Bunny,3,2017,8,17,1890,9,105337,108,7,179,0,8,138.1647396072968,F#,Minor,86.11656242725225,73.59456301865306,80.41878637241217,5.671876038980268,1.5197912948683845,9.44682203193323,27.682893001138257,2017-08-17,1
The Business,Tiï¿½ï¿,5,2010,3,1,3860,12,176689,152,1,19,3,10,97.10802548989062,G#,Minor,54.43679912302151,47.54112630480101,47.45415628034776,55.71417604929633,27.379635775096595,54.86316776506356,5.103604386448376,2010-03-01,1
Don't ever say love me (feat. RM of BTS),"RM, Colde",1,2012,9,12,504,2,123321,198,19,22,1,5,130.7684445049979,B,Minor,91.2783486666805,63.1935807059401,76.26156071704942,18.22609478570699,1.1886292124827258,8.27959808271883,21.96544693957736,2012-09-12,1
This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,3,2015,1,20,1618,12,38805,85,19,146,8,21,147.57121695571627,E,Major,81.22633968798053,79.39030298081599,81.79957559998303,11.420001306783949,7.6488903599195135,11.286965092713231,28.06995115540165,2015-01-20,0
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",4,2010,7,17,4827,8,167970,264,5,145,6,16,139.15552323326014,D#,Major,86.13902717863031,78.13981953472933,72.22945822184519,5.896437663622189,4.217621530441809,8.812618833661531,24.397963169056936,2010-07-17,0
Bound 2,Kanye West,3,1962,8,20,2418,15,174620,39,2,53,6,29,98.2531022623058,C#,Major,55.34335421858613,54.962737669301326,49.678642712287015,51.530033966917685,32.703493779507426,36.64537020928677,9.502448847516526,1962-08-20,0
Rumble,"Skrillex, Flowdan, Fred again..",2,2018,12,17,1400,7,61755,197,10,56,4,9,143.06506690571914,C#,Minor,76.76036304511636,65.73277031761768,84.67815848399715,11.56158643203386,1.996698681508735,5.3079842815214135,20.92233489613769,2018-12-17,1
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2007,1,17,1205,2,61469,139,7,146,7,36,145.18638803511914,G,Minor,81.3476100617653,70.78030174555172,87.8372413316017,5.022070047742497,8.18645749055234,15.402590803828693,16.101372825257712,2007-01-17,1
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",1,2008,7,28,1501,18,115715,107,14,39,9,11,109.18715857837536,G#,Major,58.48726748097653,52.550699125161486,35.887736532364684,46.64554698589937,40.26785448327343,59.16857089160997,11.264428602037974,2008-07-28,0
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1,2014,2,14,854,0,157057,204,4,120,9,38,148.50746014195124,C#,Major,88.08388820081599,79.4690708776412,70.61564168831845,15.658072190390996,0.669661520335072,7.860469051325984,20.46662913921168,2014-02-14,0
All My Life (feat. J. Cole),"J. Cole, Lil Durk",5,2005,5,13,4750,7,195357,124,14,39,8,27,148.43112372163657,D#,Major,86.51486016009991,74.97774453189407,77.85542818141839,16.922049142218103,6.705451535589738,18.375666635535065,28.259763266726264,2005-05-13,0
You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",5,2022,6,19,3346,16,45194,174,7,166,8,44,99.76069448833054,F,Major,48.9574626181599,57.3009650157783,49.235049106368365,60.11405547269205,21.08369668863944,36.199796279175686,13.61171928498621,2022-06-19,0
Broke Boys,"Drake, 21 Savage",1,2000,12,28,897,7,3152,146,19,98,5,11,92.73571298329662,D,Major,55.64339491438248,53.94649105637787,35.67650948253289,40.04396925524097,35.468302950392,57.64520795003321,14.87945985047944,2000-12-28,0
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",4,2021,9,26,4741,16,141336,135,5,95,3,47,102.16329407102262,G,Minor,41.65324007765199,52.76910520637148,41.80756801342494,49.83137002458342,43.9063711561667,34.312362844693034,6.393140600343318,2021-09-26,1
Sugar Rush Ride,TOMORROW X TOGETHER,2,2010,5,26,222,9,54744,27,18,118,4,22,140.42414967639897,A#,Minor,90.05044489493183,78.53469240297125,84.5821064522746,11.935214425961409,2.834671304755303,16.133710016631536,28.33739513326023,2010-05-26,1
Where Did You Go?,"MNEK, Jax Jones",5,2016,1,14,1859,4,54858,30,16,177,8,25,145.22309054748862,A#,Major,82.6427310593355,73.54842327686087,86.85738334822653,24.81751020123495,2.0227803041995704,12.297085310733207,28.901188981770773,2016-01-14,0
Take My Breath,The Weeknd,2,2018,11,3,4632,3,112113,272,11,179,8,10,135.34564302568313,A#,Minor,88.14375068673085,67.54751959155995,80.99085960405488,9.032025275345235,1.0333844559658278,10.091934853649224,22.206956663713875,2018-11-03,1
Special,SZA,4,2017,1,25,1533,6,43364,88,8,168,5,30,146.48029287387436,Unknown,Major,78.24168810756457,75.41152368742101,77.92503206095441,21.30119454854128,5.942125243014225,18.89186552688082,25.274953819418457,2017-01-25,0
Streets,Doja Cat,5,2020,3,30,1124,2,130108,277,0,5,2,10,103.0191367132318,B,Major,53.76304421124132,48.72907693869268,53.26879370378695,68.98112547848316,43.70448025748031,30.712780047097027,14.055969322473,2020-03-30,0
Cupid - Twin Ver.,Fifty Fifty,1,2020,6,30,1821,5,97989,199,3,10,7,26,138.0672107007867,B,Minor,77.23653427789138,74.1291485770347,79.7323417249092,13.87178520182613,3.8971495130823497,9.258173318943424,20.165032847364685,2020-06-30,1
Kiss Me More (feat. SZA),"SZA, Doja Cat",2,2015,9,28,727,14,64645,163,9,154,6,31,95.82498559066548,G#,Major,44.3717077402927,41.45325665927309,48.61733770526896,57.39002527128165,21.01590376402665,44.805843308548575,5.113086408594375,2015-09-28,0
Notice Me,SZA,4,2001,11,18,4189,16,32909,35,18,18,8,18,95.60604463775849,F,Major,59.24973531419822,40.90642707412288,47.49332549851717,56.154110227922615,31.62995003980253,32.28018727694572,8.274318342732224,2001-11-18,0
Pink Venom,BLACKPINK,3,2003,10,8,4398,13,32924,185,17,182,5,44,108.4299264282499,Unknown,Major,52.306181446131696,58.44183279388349,38.54846832102624,56.61143156402761,33.09817756366052,39.59783743986906,9.393288265582417,2003-10-08,0
CAIRO,"Karol G, Ovy On The Drums",5,2003,4,16,224,17,45762,116,13,52,2,19,105.83117015384693,F,Minor,52.40126722343616,45.50978404039115,59.07267753793986,45.74427224377895,36.70102748044212,49.83612638984855,7.394513341460671,2003-04-16,1
Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",3,1959,10,5,3247,15,132634,15,2,192,3,14,108.8411341138332,B,Major,49.75730745400217,48.40866826058541,58.44623374077242,60.63731419541491,33.10482184534695,57.43841966283476,14.145738498586311,1959-10-05,0
BackOutsideBoyz,Drake,4,2013,4,17,3245,14,40520,102,7,137,4,44,103.82979020590524,F,Minor,51.98837033754141,44.86054152662028,47.24118407619538,69.22886670883813,35.17186303812144,35.56128964202146,12.52685058578528,2013-04-17,1
All of Me,John Legend,1,2015,1,2,1466,1,86836,114,2,125,6,1,96.68823119714878,G#,Major,56.56762588096103,42.66630687727667,39.35295862431877,65.67702303947772,20.760139061479137,48.543245995084014,14.854459083895492,2015-01-02,0
Believer,Imagine Dragons,4,2010,9,1,3823,10,88157,97,9,164,2,15,106.3997950024546,A#,Minor,58.85236651673579,40.33888287586824,48.44181260731735,66.22956311338854,28.048348265032907,47.5678311405993,9.86765619917439,2010-09-01,1
Pope Is a Rockstar,SALES,5,2017,3,10,1490,6,154662,299,6,184,1,3,136.80412989263965,E,Minor,84.2673356930233,65.26320460439723,88.38834448419962,19.679199030016303,8.439918469203876,14.436045099391968,20.208788838836625,2017-03-10,1
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",1,2004,11,24,3585,15,131084,105,19,191,9,49,102.84990143493252,Unknown,Major,46.90328164445242,54.17444804753266,39.95721638955769,47.22821170405545,25.540423708824303,46.729417579834994,11.928593205797805,2004-11-24,0
drivers license,Olivia Rodrigo,4,2008,3,26,4120,18,195040,195,2,75,9,33,138.66939224993163,A#,Major,80.53687054207988,61.81252391368668,76.978387943076,9.619085376200104,5.427333786754965,7.201561000744459,15.54034682828862,2008-03-26,0
cï¿½ï¿½mo dormi,Rels B,1,2007,11,27,1655,6,66456,10,4,117,2,18,109.33703130289568,C#,Major,42.852306519929456,42.44213508227315,57.16349836769291,64.39922614609094,37.04953038204057,36.4517096708739,11.365306572732097,2007-11-27,0
MONTAGEM - FR PUNK,"Ayparia, unxbected",4,2008,4,25,569,14,169284,217,4,54,5,45,140.84659588793562,A,Major,77.57398198600626,62.51262265650747,75.37739180181268,24.82183292047857,2.0090014543288515,10.79476481790045,27.507795488809144,2008-04-25,0
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",1,1966,8,23,4960,16,184234,38,5,125,3,43,99.8623774744584,G#,Minor,49.42639221425371,41.06660092462825,33.50726868483032,57.09478493582752,35.303407598092974,31.45683603461332,11.90493882547613,1966-08-23,1
traitor,"Juan Cruz Toledo, Huilen Toledo",3,2019,3,5,2290,10,99348,32,19,66,8,20,91.59050919626137,D#,Major,58.72501446089839,46.25035122793866,44.106930436192776,47.23190619302565,29.98751447181853,40.3235574230953,7.772542481065897,2019-03-05,0
Gatita,Bellakath,5,2016,5,9,3140,6,100101,196,13,31,8,30,107.100749045353,G,Major,58.51451185864118,59.303361097830205,33.879486105016746,54.24124695559661,31.13921120867545,35.83448012278606,13.48063756012454,2016-05-09,0
Moscow Mule,Bad Bunny,3,2002,4,9,1227,3,193861,28,0,194,0,4,144.274517362091,F,Minor,82.67996851796889,70.74930338070801,78.59381831071586,8.315074018223834,7.373743630136205,18.132037049652084,21.93888853648187,2002-04-09,1
You Right,"Doja Cat, The Weeknd",1,2008,1,5,4258,6,1503,133,8,108,7,31,139.62730682219453,G#,Major,79.47322634256463,73.40333277447472,87.92328617666142,19.39171412371128,9.019054351915251,13.137428900863377,18.215860463331467,2008-01-05,0
fukumean,Gunna,5,2021,6,16,838,10,20307,167,19,94,6,13,130.8701418193789,C#,Minor,85.96638795140387,61.58967666852268,87.75638584840459,12.524929633404692,4.38151373812267,9.329642707554813,17.065810070326954,2021-06-16,1
La Corriente,"Tony Dize, Bad Bunny",5,2012,9,8,351,0,95400,98,5,39,1,8,109.6834211740692,B,Minor,43.15221023651375,46.08338162917588,59.44744882270355,64.24876348731209,29.782764787994694,39.126494094635255,11.270159368936705,2012-09-08,1
Coco Chanel,"Bad Bunny, Eladio Carrion",3,1960,8,28,1056,18,130233,64,17,155,9,2,97.18049170857851,D,Major,54.77757136769435,51.20330465847119,37.36649225965958,53.1278016955416,44.85114291297644,47.88858261487211,9.9514515358251,1960-08-28,0
